key,zh,en
AC.Title,AI协作创作,AI Collaboration
AC.Subtitle,管理AI Agent协作、监控工作流程和任务队列,"Manage AI agent collaboration, workflows, and the task queue"
AC.AgentMonitor,Agent状态监控,Agent Status Monitor
AC.RefreshAgentStatus,刷新Agent状态,Refresh agent status
AC.ViewDetails,查看详情,View details
AC.ResetAgent,重置Agent,Reset agent
AC.WorkflowControl,工作流控制,Workflow Control
AC.RunProjectInitWorkflow,执行项目初始化工作流,Run project initialization workflow
AC.RunChapterWorkflow,执行章节创建工作流,Run chapter creation workflow
AC.RunReviewWorkflow,执行内容审查工作流,Run content review workflow
AC.RunConsistencyWorkflow,执行一致性检查工作流,Run consistency check workflow
AC.OpenConfigWindow,打开配置窗口,Open configuration window
AC.TestConnection,测试连接,Test connection
AC.AIProvider,AI提供者,AI Provider
AC.ProviderOllamaLocal,Ollama (本地模型),Ollama (local models)
AC.ProviderDeepSeekCloud,DeepSeek (云端模型),DeepSeek (cloud models)
AC.ProviderMCP,MCP (协议模型),MCP (protocol models)
AC.SelectModel,选择模型,Select model
AC.RefreshModelList,刷新模型列表,Refresh model list
AC.Checking,检查中...,Checking...
AC.TemperatureLabel,温度:,Temperature:
AC.MaxTokens,最大令牌数,Max tokens
AC.EnableThinkingChain,启用思维链显示,Show chain-of-thought
AC.EnableStreaming,启用流式响应,Enable streaming response
AC.QuickTest,快速测试,Quick Test
AC.TestPromptHint,输入测试提示词,Enter a test prompt
AC.TestPromptDefault,输入项目设定、章节大纲或待审查文本，然后点击下方工作流或发送测试。,"Enter project settings, chapter outline, or text to review, then run a workflow below or send a test."
AC.SendTest,发送测试,Send Test
AC.StreamingResponse,流式响应,Streaming response
AC.ResponsePlaceholder,AI响应将显示在这里,AI response will appear here
AC.SaveConfig,保存配置,Save Configuration
AC.ThinkingChainControl,思维链控制,Chain-of-Thought Control
AC.ActiveWindows,({0} 个活动窗口),({0} active window(s))
AC.FloatingWindowSettings,悬浮窗口设置,Floating Window Settings
AC.OpacityLabel,透明度:,Opacity:
AC.DefaultPosition,默认位置,Default position
